timestamp,name,old_price,new_price,price_change,price_trend,price_change_amount,price_change_percent,image_url,full_content,scraped_at
今天 20:31,,69.89,69.69,69.89 >> 69.69,,,,https://img.zbt.com/e/steam/item/730/RGVzZXJ0IEVhZ2xlIHwgSGVpcmxvb20gKEZpZWxkLVRlc3RlZCk=.png,今天 20:31BUFF沙漠之鹰 | 遗产 (久经沙场)在售价¥ 69.89 >> 69.69在售数75 >> 80求购价¥ 66 >> 66求购数¥ 58 >> 55在售列表均价下跌-8.02 (-9.99%)¥,2026-03-14T22:44:30.960901
今天 20:30,,124.4,120,124.4 >> 120,,,,https://img.zbt.com/e/steam/item/730/R2FsaWwgQVIgfCBCbHVlIFRpdGFuaXVtIChGYWN0b3J5IE5ldyk=.png,今天 20:30BUFF加利尔AR | 蓝钛 (崭新出厂)在售价¥ 124.4 >> 120在售数130 >> 131求购价¥ 105 >> 105求购数¥ 56 >> 56在售列表均价下跌-3.39 (-2.71%)¥,2026-03-14T22:44:30.960921
今天 20:19,,2909.99,2960,2909.99 >> 2960,,,,https://img.zbt.com/e/steam/item/730/QUstNDcgfCBMZWV0IE11c2VvIChNaW5pbWFsIFdlYXIp.png,今天 20:19YOUPINAK-47 | 抽象派 1337 (略有磨损)在售价¥ 2909.99 >> 2960在售数1104 >> 1087求购价¥ 2870 >> 2930求购数¥ 105 >> 98在售列表均价上涨73.84 (2.53%)¥,2026-03-14T22:44:30.960941
今天 20:10,,21000,21887.5,21000 >> 21887.5,,,,https://img.zbt.com/e/steam/item/730/4piFIFNwb3J0IEdsb3ZlcyB8IFN1cGVyY29uZHVjdG9yIChGaWVsZC1UZXN0ZWQp.png,今天 20:10YOUPIN运动手套（★） | 超导体 (久经沙场)在售价¥ 21000 >> 21887.5在售数430 >> 420求购价¥ 23080 >> 23070求购数¥ 52 >> 54在售列表均价上涨490.91 (2.29%)¥,2026-03-14T22:44:30.960962
今天 20:09,,2298,2359,2298 >> 2359,,,,https://img.zbt.com/e/steam/item/730/U1NHIDA4IHwgRHJhZ29uZmlyZSAoTWluaW1hbCBXZWFyKQ==.png,今天 20:09YOUPINSSG 08 | 炎龙之焰 (略有磨损)在售价¥ 2298 >> 2359在售数780 >> 767求购价¥ 2920 >> 2930求购数¥ 60 >> 58在售列表均价上涨98.12 (4.21%)¥,2026-03-14T22:44:30.960982
今天 20:09,,5199.5,5350,5199.5 >> 5350,,,,https://img.zbt.com/e/steam/item/730/TTRBNCB8IEJ1enogS2lsbCAoRmFjdG9yeSBOZXcp.png,今天 20:09YOUPINM4A4 | 喧嚣杀戮 (崭新出厂)在售价¥ 5199.5 >> 5350在售数847 >> 825求购价¥ 5190 >> 5220求购数¥ 66 >> 66在售列表均价上涨120.35 (2.30%)¥,2026-03-14T22:44:30.961002
今天 20:08,,30,32.98,30 >> 32.98,,,,https://img.zbt.com/e/steam/item/730/QUstNDcgfCBTbGF0ZSAoV2VsbC1Xb3JuKQ==.png,今天 20:08BUFFAK-47 | 墨岩 (破损不堪)在售价¥ 30 >> 32.98在售数1826 >> 1822求购价¥ 31 >> 30.9求购数¥ 83 >> 83在售列表均价上涨0.76 (2.34%)¥,2026-03-14T22:44:30.961022
今天 20:07,,117,88,117 >> 88,,,,https://img.zbt.com/e/steam/item/730/QVdQIHwgQ2FwaWxsYXJ5IChGYWN0b3J5IE5ldyk=.png,今天 20:07BUFFAWP | 毛细血管 (崭新出厂)在售价¥ 117 >> 88在售数80 >> 79求购价¥ 109 >> 109求购数¥ 117 >> 120在售列表均价下跌-4.64 (-3.86%)¥,2026-03-14T22:44:30.961042
今天 20:06,,50.9,50.8,50.9 >> 50.8,,,,https://img.zbt.com/e/steam/item/730/TTRBMS1TIHwgQ29udHJvbCBQYW5lbCAoQmF0dGxlLVNjYXJyZWQp.png,今天 20:06BUFFM4A1消音版 | 控制台 (战痕累累)在售价¥ 50.9 >> 50.8在售数112 >> 117求购价¥ 47.4 >> 47.4求购数¥ 51 >> 52在售列表均价下跌-2.17 (-4.02%)¥,2026-03-14T22:44:30.961062
今天 20:02,,2020,2110,2020 >> 2110,,,,https://img.zbt.com/e/steam/item/730/QUstNDcgfCBBcXVhbWFyaW5lIFJldmVuZ2UgKEZhY3RvcnkgTmV3KQ==.png,今天 20:02YOUPINAK-47 | 深海复仇 (崭新出厂)在售价¥ 2020 >> 2110在售数369 >> 338求购价¥ 1990 >> 2030求购数¥ 62 >> 69在售列表均价上涨91.35 (4.52%)¥,2026-03-14T22:44:30.961083
今天 20:01,,200,203.1,200 >> 203.1,,,,https://img.zbt.com/e/steam/item/730/QUstNDcgfCBSZWRsaW5lIChCYXR0bGUtU2NhcnJlZCk=.png,今天 20:01BUFFAK-47 | 红线 (战痕累累)在售价¥ 200 >> 203.1在售数131 >> 115求购价¥ 203 >> 203求购数¥ 64 >> 65在售列表均价上涨11.25 (5.55%)¥,2026-03-14T22:44:30.961104
今天 19:48,,2825,2979.5,2825 >> 2979.5,,,,https://img.zbt.com/e/steam/item/730/4piFIE1vdG8gR2xvdmVzIHwgRmluaXNoIExpbmUgKE1pbmltYWwgV2Vhcik=.png,今天 19:48YOUPIN摩托手套（★） | 终点线 (略有磨损)在售价¥ 2825 >> 2979.5在售数100 >> 97求购价¥ 2700 >> 2800求购数¥ 69 >> 70在售列表均价上涨152.15 (5.14%)¥,2026-03-14T22:44:30.961124
今天 19:48,,2949.5,3026,2949.5 >> 3026,,,,https://img.zbt.com/e/steam/item/730/4piFIE1vdG8gR2xvdmVzIHwgU21va2UgT3V0IChNaW5pbWFsIFdlYXIp.png,今天 19:48YOUPIN摩托手套（★） | 小心烟雾弹 (略有磨损)在售价¥ 2949.5 >> 3026在售数89 >> 87求购价¥ 3170 >> 3170求购数¥ 51 >> 51在售列表均价上涨68.65 (2.27%)¥,2026-03-14T22:44:30.961147
今天 19:48,,2875,2987.5,2875 >> 2987.5,,,,https://img.zbt.com/e/steam/item/730/4piFIEhhbmQgV3JhcHMgfCBDQVVUSU9OISAoTWluaW1hbCBXZWFyKQ==.png,今天 19:48YOUPIN裹手（★） | 警告！ (略有磨损)在售价¥ 2875 >> 2987.5在售数199 >> 197求购价¥ 2850 >> 2890求购数¥ 56 >> 55在售列表均价上涨74.50 (2.55%)¥,2026-03-14T22:44:30.961167
今天 19:39,,49.7,48,49.7 >> 48,,,,https://img.zbt.com/e/steam/item/730/UDI1MCB8IFZpc2lvbnMgKE1pbmltYWwgV2Vhcik=.png,今天 19:39BUFFP250 | 迷人幻象 (略有磨损)在售价¥ 49.7 >> 48在售数197 >> 199求购价¥ 45.1 >> 45.3求购数¥ 80 >> 81在售列表均价下跌-1.04 (-2.00%)¥,2026-03-14T22:44:30.961187
今天 19:39,,64,64,64 >> 64,,,,https://img.zbt.com/e/steam/item/730/RHVhbCBCZXJldHRhcyB8IEZsb3JhIENhcm5pdm9yYSAoRmFjdG9yeSBOZXcp.png,今天 19:39BUFF双持贝瑞塔 | 食人花 (崭新出厂)在售价¥ 64 >> 64在售数84 >> 83求购价¥ 58 >> 59求购数¥ 72 >> 73在售列表均价下跌-1.75 (-2.70%)¥,2026-03-14T22:44:30.961209
今天 19:38,,32.9,30,32.9 >> 30,,,,https://img.zbt.com/e/steam/item/730/QUstNDcgfCBTbGF0ZSAoV2VsbC1Xb3JuKQ==.png,今天 19:38BUFFAK-47 | 墨岩 (破损不堪)在售价¥ 32.9 >> 30在售数1823 >> 1826求购价¥ 31 >> 31求购数¥ 82 >> 83在售列表均价下跌-0.74 (-2.23%)¥,2026-03-14T22:44:30.961230
今天 19:37,,147,147,147 >> 147,,,,https://img.zbt.com/e/steam/item/730/UDIwMDAgfCBBY2lkIEV0Y2hlZCAoRmFjdG9yeSBOZXcp.png,今天 19:37BUFFP2000 | 酸蚀 (崭新出厂)在售价¥ 147 >> 147在售数113 >> 113求购价¥ 136 >> 136求购数¥ 74 >> 74在售列表均价下跌-4.97 (-3.21%)¥,2026-03-14T22:44:30.961251
今天 19:34,,49,49,49 >> 49,,,,https://img.zbt.com/e/steam/item/730/TTRBMS1TIHwgQnJpZWZpbmcgKEZpZWxkLVRlc3RlZCk=.png,今天 19:34BUFFM4A1消音版 | 简报 (久经沙场)在售价¥ 49 >> 49在售数89 >> 89求购价¥ 41.5 >> 41.8求购数¥ 50 >> 50在售列表均价下跌-1.39 (-2.62%)¥,2026-03-14T22:44:30.961270
今天 19:33,,57.99,57.78,57.99 >> 57.78,,,,https://img.zbt.com/e/steam/item/730/QVdQIHwgUGhvYm9zIChGYWN0b3J5IE5ldyk=.png,今天 19:33BUFFAWP | 火卫一 (崭新出厂)在售价¥ 57.99 >> 57.78在售数500 >> 504求购价¥ 56 >> 56求购数¥ 95 >> 95在售列表均价下跌-1.21 (-2.02%)¥,2026-03-14T22:44:30.961290
今天 19:32,,2055,2020,2055 >> 2020,,,,https://img.zbt.com/e/steam/item/730/QUstNDcgfCBBcXVhbWFyaW5lIFJldmVuZ2UgKEZhY3RvcnkgTmV3KQ==.png,今天 19:32YOUPINAK-47 | 深海复仇 (崭新出厂)在售价¥ 2055 >> 2020在售数360 >> 369求购价¥ 2020 >> 1990求购数¥ 68 >> 62在售列表均价下跌-58.63 (-2.82%)¥,2026-03-14T22:44:30.961310
